manualRowNo,exerciseName,stableKey,estimatedMovementFamily,estimatedFamilyConfidence,manualReviewReasons,sourceIdIssue,highAxialPlyometricDecelerationConflict,automaticFixPossible,myRowReviewJudgement,myFamilyJudgement,mySuggestedFamilyOrActionFamily,mySourceIssueJudgement,myPriority,myRecommendedAction,myComment
91,크로스바디 해머 컬,ex_b69ab702,BICEPS_TRICEPS_ISOLATION_VARIANTS,HIGH,SOURCE_REVIEW,USES_NEEDS_NETWORK_RECHECK_SOURCE:E_BADMINTON_INJURY_PMC7205924,NO,PARTIAL_TEMPLATE_DEFAULTS_WITH_REVIEW,행 단위 manual review는 과잉,적절,BICEPS_TRICEPS_ISOLATION_VARIANTS,source-only 검토 적절,P2,family는 유지. sourceReviewRequired로만 분리하고 seed 반영 전 source 상태만 확인.,"운동 분류 문제라기보다 needs_network_recheck source 때문에 manual로 잡힌 행이다. 단, E_BADMINTON_INJURY source는 배드민턴 grip/상지 support 보조 근거로만 두고 arm isolation의 주근거로 쓰면 안 된다."
92,트라이셉스 푸시다운,ex_fa570291,BICEPS_TRICEPS_ISOLATION_VARIANTS,HIGH,SOURCE_REVIEW,USES_NEEDS_NETWORK_RECHECK_SOURCE:E_BADMINTON_INJURY_PMC7205924,NO,PARTIAL_TEMPLATE_DEFAULTS_WITH_REVIEW,행 단위 manual review는 과잉,적절,BICEPS_TRICEPS_ISOLATION_VARIANTS,source-only 검토 적절,P2,family는 유지. sourceReviewRequired로만 분리하고 seed 반영 전 source 상태만 확인.,"운동 분류 문제라기보다 needs_network_recheck source 때문에 manual로 잡힌 행이다. 단, E_BADMINTON_INJURY source는 배드민턴 grip/상지 support 보조 근거로만 두고 arm isolation의 주근거로 쓰면 안 된다."
93,파이크 푸시업,ex_3caa236b,OVERHEAD_PRESS_LANDMINE_PRESS_VARIANTS,HIGH,SOURCE_REVIEW,USES_NEEDS_NETWORK_RECHECK_SOURCE:D_SCAP_ROTATOR_CUFF_PMC2857390|E_BADMINTON_INJURY_PMC7205924,NO,PARTIAL_TEMPLATE_DEFAULTS_WITH_REVIEW,행 단위 manual review는 과잉,적절,OVERHEAD_PRESS_LANDMINE_PRESS_VARIANTS,source-only 검토 적절,P2,family는 유지. sourceReviewRequired로만 분리하고 seed 반영 전 source 상태만 확인.,운동 분류 문제라기보다 needs_network_recheck source 때문에 manual로 잡힌 행이다. overhead/shoulder source review만 남기면 충분하다.
94,페이스풀,face_pull,ROW_VARIANTS,HIGH,SOURCE_REVIEW|ROW_SUBTYPE_MANUAL_REVIEW,USES_NEEDS_NETWORK_RECHECK_SOURCE:D_SCAP_ROTATOR_CUFF_PMC2857390,NO,PARTIAL_TEMPLATE_DEFAULTS_WITH_REVIEW,수동검토 적절,수정 필요,FACE_PULL_LOWER_TRAP_SERRATUS_VARIANTS,source 검토 적절,P0,sidecar 생성 전 family 보정 규칙을 추가하라.,현재 ROW_VARIANTS로 남아 있으나 face pull/후면어깨/견갑조절 계열이 더 적절하다.
95,풀업,pull_up,PULL_UP_CHIN_UP_LAT_PULLDOWN_VARIANTS,HIGH,SOURCE_REVIEW,USES_NEEDS_NETWORK_RECHECK_SOURCE:C_LAT_PULLDOWN_EMG_PMC449729|E_BADMINTON_INJURY_PMC7205924,NO,PARTIAL_TEMPLATE_DEFAULTS_WITH_REVIEW,행 단위 manual review는 과잉,적절,PULL_UP_CHIN_UP_LAT_PULLDOWN_VARIANTS,source-only 검토 적절,P2,family는 유지. sourceReviewRequired로만 분리하고 seed 반영 전 source 상태만 확인.,운동 분류 문제라기보다 needs_network_recheck source 때문에 manual로 잡힌 행이다.
96,프론트 스쿼트,ex_c5043892,SQUAT_VARIANTS,HIGH,HIGH_STRESS_SESSION_CLUSTER_REVIEW,NO,HIGH_AXIAL_REVIEW,PARTIAL_TEMPLATE_DEFAULTS_WITH_REVIEW,수동검토 적절,적절,SQUAT_VARIANTS,해당 없음,P1,session-level redundancy/fatigue cap에서만 사용하고 seed 자동 고부하 판정은 금지.,고부하/감속/SSC 후보라 session generator 충돌 검토가 필요하다.
97,프론트풋 엘리베이티드 스플릿 스쿼트,ex_7ce96a7a,LUNGE_SPLIT_SQUAT_VARIANTS,HIGH,SOURCE_REVIEW,USES_NEEDS_NETWORK_RECHECK_SOURCE:E_BADMINTON_LUNGE_PMC7648456|C_GLUTE_MED_MIN_META_PMC7727410,NO,PARTIAL_TEMPLATE_DEFAULTS_WITH_REVIEW,행 단위 manual review는 과잉,적절,LUNGE_SPLIT_SQUAT_VARIANTS,source-only 검토 적절,P2,family는 유지. sourceReviewRequired로만 분리하고 seed 반영 전 source 상태만 확인.,운동 분류 문제라기보다 needs_network_recheck source 때문에 manual로 잡힌 행이다.
98,프리처 컬,ex_e994008a,BICEPS_TRICEPS_ISOLATION_VARIANTS,HIGH,SOURCE_REVIEW,USES_NEEDS_NETWORK_RECHECK_SOURCE:E_BADMINTON_INJURY_PMC7205924,NO,PARTIAL_TEMPLATE_DEFAULTS_WITH_REVIEW,행 단위 manual review는 과잉,적절,BICEPS_TRICEPS_ISOLATION_VARIANTS,source-only 검토 적절,P2,family는 유지. sourceReviewRequired로만 분리하고 seed 반영 전 source 상태만 확인.,"운동 분류 문제라기보다 needs_network_recheck source 때문에 manual로 잡힌 행이다. 단, E_BADMINTON_INJURY source는 배드민턴 grip/상지 support 보조 근거로만 두고 arm isolation의 주근거로 쓰면 안 된다."
99,플랫 덤벨 플라이,ex_91b749b3,CHEST_ISOLATION_REVIEW,MEDIUM,NO_TEMPLATE_MATCH|LOW_OR_MEDIUM_FAMILY_CONFIDENCE|SOURCE_REVIEW,MISSING_SOURCE_ID,NO,NO,수동검토 적절,대체로 적절,CHEST_ISOLATION_REVIEW,source/template 누락 검토 적절,P1,새 template/sourceId를 만든 뒤에만 seed 반영.,새로 분리한 review family이거나 template/source가 없어서 manual review가 맞다.
100,해머 컬,ex_2892da5a,BICEPS_TRICEPS_ISOLATION_VARIANTS,HIGH,SOURCE_REVIEW,USES_NEEDS_NETWORK_RECHECK_SOURCE:E_BADMINTON_INJURY_PMC7205924,NO,PARTIAL_TEMPLATE_DEFAULTS_WITH_REVIEW,행 단위 manual review는 과잉,적절,BICEPS_TRICEPS_ISOLATION_VARIANTS,source-only 검토 적절,P2,family는 유지. sourceReviewRequired로만 분리하고 seed 반영 전 source 상태만 확인.,"운동 분류 문제라기보다 needs_network_recheck source 때문에 manual로 잡힌 행이다. 단, E_BADMINTON_INJURY source는 배드민턴 grip/상지 support 보조 근거로만 두고 arm isolation의 주근거로 쓰면 안 된다."
101,핵 스쿼트,ex_e9e97659,SQUAT_VARIANTS,HIGH,HIGH_STRESS_SESSION_CLUSTER_REVIEW,NO,HIGH_AXIAL_REVIEW,PARTIAL_TEMPLATE_DEFAULTS_WITH_REVIEW,수동검토 적절,적절,SQUAT_VARIANTS,해당 없음,P1,session-level redundancy/fatigue cap에서만 사용하고 seed 자동 고부하 판정은 금지.,고부하/감속/SSC 후보라 session generator 충돌 검토가 필요하다.
102,핸드스탠드 푸시업,ex_fa2e73b3,OVERHEAD_PRESS_LANDMINE_PRESS_VARIANTS,HIGH,SOURCE_REVIEW,USES_NEEDS_NETWORK_RECHECK_SOURCE:D_SCAP_ROTATOR_CUFF_PMC2857390|E_BADMINTON_INJURY_PMC7205924,NO,PARTIAL_TEMPLATE_DEFAULTS_WITH_REVIEW,행 단위 manual review는 과잉,적절,OVERHEAD_PRESS_LANDMINE_PRESS_VARIANTS,source-only 검토 적절,P2,family는 유지. sourceReviewRequired로만 분리하고 seed 반영 전 source 상태만 확인.,운동 분류 문제라기보다 needs_network_recheck source 때문에 manual로 잡힌 행이다. overhead/shoulder source review만 남기면 충분하다.
103,행잉 레그 레이즈,ex_b3f447be,ANTI_ROTATION_ANTI_EXTENSION_CORE_VARIANTS,MEDIUM,LOW_OR_MEDIUM_FAMILY_CONFIDENCE,NO,NO,PARTIAL,수동검토 적절,세부분리 필요,CORE_FLEXION_HIP_FLEXOR_REVIEW,해당 없음,P1,자동 template 반영 금지. sidecar에서 별도 review family로 둬라.,복부 굴곡/고관절 굴곡 계열로 세부 템플릿 분리가 필요하다.
104,힙 쓰러스트,ex_721f7b5b,HIP_THRUST_GLUTE_BRIDGE_VARIANTS,HIGH,SOURCE_REVIEW,USES_NEEDS_NETWORK_RECHECK_SOURCE:C_GLUTE_REHAB_EMG_PMC3201064,NO,PARTIAL_TEMPLATE_DEFAULTS_WITH_REVIEW,행 단위 manual review는 과잉,적절,HIP_THRUST_GLUTE_BRIDGE_VARIANTS,source-only 검토 적절,P2,family는 유지. sourceReviewRequired로만 분리하고 seed 반영 전 source 상태만 확인.,운동 분류 문제라기보다 needs_network_recheck source 때문에 manual로 잡힌 행이다.
105,힙 어덕션,ex_eaea872c,MOBILITY_WARMUP_RECOVERY_EXERCISES,MEDIUM,LOW_OR_MEDIUM_FAMILY_CONFIDENCE|SOURCE_REVIEW,USES_NEEDS_NETWORK_RECHECK_SOURCE:D_SCAP_ROTATOR_CUFF_PMC2857390|C_GLUTE_REHAB_EMG_PMC3201064,NO,PARTIAL,수동검토 적절,수정 필요,HIP_ADDUCTION_ACCESSORY_REVIEW,source 검토 적절,P0,sidecar 생성 전 family 보정 규칙을 추가하라.,MOBILITY/RECOVERY보다 고관절 내전 보조/머신 계열로 분리하는 편이 맞다.
106,힙 어브덕션,ex_728da646,MOBILITY_WARMUP_RECOVERY_EXERCISES,MEDIUM,LOW_OR_MEDIUM_FAMILY_CONFIDENCE|SOURCE_REVIEW,USES_NEEDS_NETWORK_RECHECK_SOURCE:D_SCAP_ROTATOR_CUFF_PMC2857390|C_GLUTE_REHAB_EMG_PMC3201064,NO,PARTIAL,수동검토 적절,수정 필요,HIP_ABDUCTION_GLUTE_MED_ACCESSORY_REVIEW,source 검토 적절,P0,sidecar 생성 전 family 보정 규칙을 추가하라.,MOBILITY/RECOVERY보다 중둔근/고관절 외전 보조 계열로 분리하는 편이 맞다.
107,30초 반복 스매시 테스트,ex_91d8430b,BADMINTON_OVERHEAD_POWER_TEST_REVIEW,MEDIUM,NO_TEMPLATE_MATCH|LOW_OR_MEDIUM_FAMILY_CONFIDENCE|SOURCE_REVIEW,MISSING_SOURCE_ID,NO,NO,수동검토 적절,대체로 적절,BADMINTON_OVERHEAD_POWER_TEST_REVIEW,source/template 누락 검토 적절,P1,새 template/sourceId를 만든 뒤에만 seed 반영.,새로 분리한 review family이거나 template/source가 없어서 manual review가 맞다.
108,6방향 랜덤 콕줍기,ex_bc84eb7f,FOOTWORK_SPLIT_STEP_REACTION_DRILL_VARIANTS,HIGH,HIGH_STRESS_SESSION_CLUSTER_REVIEW|SOURCE_REVIEW,USES_NEEDS_NETWORK_RECHECK_SOURCE:E_BADMINTON_LUNGE_PMC7648456,DECELERATION_REVIEW,PARTIAL_TEMPLATE_DEFAULTS_WITH_REVIEW,수동검토 적절,적절,FOOTWORK_SPLIT_STEP_REACTION_DRILL_VARIANTS,source 검토 적절,P1,session-level redundancy/fatigue cap에서만 사용하고 seed 자동 고부하 판정은 금지.,고부하/감속/SSC 후보라 session generator 충돌 검토가 필요하다.
109,6코너 섀도우 풋워크,ex_33841b88,FOOTWORK_SPLIT_STEP_REACTION_DRILL_VARIANTS,HIGH,HIGH_STRESS_SESSION_CLUSTER_REVIEW|SOURCE_REVIEW,USES_NEEDS_NETWORK_RECHECK_SOURCE:E_BADMINTON_LUNGE_PMC7648456,DECELERATION_REVIEW,PARTIAL_TEMPLATE_DEFAULTS_WITH_REVIEW,수동검토 적절,적절,FOOTWORK_SPLIT_STEP_REACTION_DRILL_VARIANTS,source 검토 적절,P1,session-level redundancy/fatigue cap에서만 사용하고 seed 자동 고부하 판정은 금지.,고부하/감속/SSC 후보라 session generator 충돌 검토가 필요하다.
110,6코너 풋워크 최대반복 테스트,ex_c7977dfd,FOOTWORK_SPLIT_STEP_REACTION_DRILL_VARIANTS,HIGH,HIGH_STRESS_SESSION_CLUSTER_REVIEW|SOURCE_REVIEW,USES_NEEDS_NETWORK_RECHECK_SOURCE:E_BADMINTON_LUNGE_PMC7648456,DECELERATION_REVIEW,PARTIAL_TEMPLATE_DEFAULTS_WITH_REVIEW,수동검토 적절,적절,FOOTWORK_SPLIT_STEP_REACTION_DRILL_VARIANTS,source 검토 적절,P1,session-level redundancy/fatigue cap에서만 사용하고 seed 자동 고부하 판정은 금지.,고부하/감속/SSC 후보라 session generator 충돌 검토가 필요하다.
111,A스킵,ex_a12de111,RUNNING_MECHANICS_SUPPORT_REVIEW,MEDIUM,NO_TEMPLATE_MATCH|LOW_OR_MEDIUM_FAMILY_CONFIDENCE|SOURCE_REVIEW,MISSING_SOURCE_ID,NO,NO,수동검토 적절,대체로 적절,RUNNING_MECHANICS_SUPPORT_REVIEW,source/template 누락 검토 적절,P1,새 template/sourceId를 만든 뒤에만 seed 반영.,새로 분리한 review family이거나 template/source가 없어서 manual review가 맞다.
112,B스킵,ex_a12de4d2,RUNNING_MECHANICS_SUPPORT_REVIEW,MEDIUM,NO_TEMPLATE_MATCH|LOW_OR_MEDIUM_FAMILY_CONFIDENCE|SOURCE_REVIEW,MISSING_SOURCE_ID,NO,NO,수동검토 적절,대체로 적절,RUNNING_MECHANICS_SUPPORT_REVIEW,source/template 누락 검토 적절,P1,새 template/sourceId를 만든 뒤에만 seed 반영.,새로 분리한 review family이거나 template/source가 없어서 manual review가 맞다.
113,가벼운 콕줍기,ex_216351a1,FOOTWORK_SPLIT_STEP_REACTION_DRILL_VARIANTS,HIGH,HIGH_STRESS_SESSION_CLUSTER_REVIEW|SOURCE_REVIEW,USES_NEEDS_NETWORK_RECHECK_SOURCE:E_BADMINTON_LUNGE_PMC7648456,DECELERATION_REVIEW,PARTIAL_TEMPLATE_DEFAULTS_WITH_REVIEW,부분 과잉,적절,FOOTWORK_SPLIT_STEP_REACTION_DRILL_VARIANTS,source 검토 적절,P1,family는 유지하되 high-stress flag는 intensity/volume 조건부로 낮춰라.,가벼운 콕줍기는 family는 맞지만 high-stress/deceleration review는 과할 수 있다. 저강도 풋워크로 별도 intensity tag가 필요하다.
114,드롭 점프,ex_d6726746,PLYOMETRIC_JUMP_VARIANTS,HIGH,HIGH_STRESS_SESSION_CLUSTER_REVIEW|SOURCE_REVIEW,USES_NEEDS_NETWORK_RECHECK_SOURCE:E_BADMINTON_TRAINING_EFFECTS_PMC12239426,PLYOMETRIC_SSC_REVIEW,PARTIAL_TEMPLATE_DEFAULTS_WITH_REVIEW,수동검토 적절,적절,PLYOMETRIC_JUMP_VARIANTS,source 검토 적절,P1,session-level redundancy/fatigue cap에서만 사용하고 seed 자동 고부하 판정은 금지.,고부하/감속/SSC 후보라 session generator 충돌 검토가 필요하다.
115,라인 홉,ex_a3ddd8ac,CALF_RAISE_ANKLE_STIFFNESS_VARIANTS,HIGH,HIGH_STRESS_SESSION_CLUSTER_REVIEW|SOURCE_REVIEW,USES_NEEDS_NETWORK_RECHECK_SOURCE:E_BADMINTON_LUNGE_PMC7648456,PLYOMETRIC_SSC_REVIEW,PARTIAL_TEMPLATE_DEFAULTS_WITH_REVIEW,수동검토 적절,적절,CALF_RAISE_ANKLE_STIFFNESS_VARIANTS,source 검토 적절,P1,session-level redundancy/fatigue cap에서만 사용하고 seed 자동 고부하 판정은 금지.,고부하/감속/SSC 후보라 session generator 충돌 검토가 필요하다.
116,래터럴 바운드,ex_34e7d21,LATERAL_BOUND_LANDING_DECELERATION_VARIANTS,HIGH,HIGH_STRESS_SESSION_CLUSTER_REVIEW|SOURCE_REVIEW,USES_NEEDS_NETWORK_RECHECK_SOURCE:E_BADMINTON_LUNGE_PMC7648456,PLYOMETRIC_SSC_REVIEW|DECELERATION_REVIEW,PARTIAL_TEMPLATE_DEFAULTS_WITH_REVIEW,수동검토 적절,적절,LATERAL_BOUND_LANDING_DECELERATION_VARIANTS,source 검토 적절,P1,session-level redundancy/fatigue cap에서만 사용하고 seed 자동 고부하 판정은 금지.,고부하/감속/SSC 후보라 session generator 충돌 검토가 필요하다.
117,래터럴 스텝다운,ex_69a56484,STEP_UP_VARIANTS,HIGH,SOURCE_REVIEW,USES_NEEDS_NETWORK_RECHECK_SOURCE:C_GLUTE_MED_MIN_META_PMC7727410|C_GLUTE_REHAB_EMG_PMC3201064,NO,PARTIAL_TEMPLATE_DEFAULTS_WITH_REVIEW,행 단위 manual review는 과잉,적절,STEP_UP_VARIANTS,source-only 검토 적절,P2,family는 유지. sourceReviewRequired로만 분리하고 seed 반영 전 source 상태만 확인.,운동 분류 문제라기보다 needs_network_recheck source 때문에 manual로 잡힌 행이다.
118,랜덤 방향전환 드릴,ex_64422511,FOOTWORK_SPLIT_STEP_REACTION_DRILL_VARIANTS,HIGH,HIGH_STRESS_SESSION_CLUSTER_REVIEW|SOURCE_REVIEW,USES_NEEDS_NETWORK_RECHECK_SOURCE:E_BADMINTON_LUNGE_PMC7648456,DECELERATION_REVIEW,PARTIAL_TEMPLATE_DEFAULTS_WITH_REVIEW,수동검토 적절,적절,FOOTWORK_SPLIT_STEP_REACTION_DRILL_VARIANTS,source 검토 적절,P1,session-level redundancy/fatigue cap에서만 사용하고 seed 자동 고부하 판정은 금지.,고부하/감속/SSC 후보라 session generator 충돌 검토가 필요하다.
119,랜덤 비프 풋워크,ex_c5f4c242,FOOTWORK_SPLIT_STEP_REACTION_DRILL_VARIANTS,HIGH,HIGH_STRESS_SESSION_CLUSTER_REVIEW|SOURCE_REVIEW,USES_NEEDS_NETWORK_RECHECK_SOURCE:E_BADMINTON_LUNGE_PMC7648456,DECELERATION_REVIEW,PARTIAL_TEMPLATE_DEFAULTS_WITH_REVIEW,수동검토 적절,적절,FOOTWORK_SPLIT_STEP_REACTION_DRILL_VARIANTS,source 검토 적절,P1,session-level redundancy/fatigue cap에서만 사용하고 seed 자동 고부하 판정은 금지.,고부하/감속/SSC 후보라 session generator 충돌 검토가 필요하다.
120,랜덤 풋워크,ex_1c7f2342,FOOTWORK_SPLIT_STEP_REACTION_DRILL_VARIANTS,HIGH,HIGH_STRESS_SESSION_CLUSTER_REVIEW|SOURCE_REVIEW,USES_NEEDS_NETWORK_RECHECK_SOURCE:E_BADMINTON_LUNGE_PMC7648456,DECELERATION_REVIEW,PARTIAL_TEMPLATE_DEFAULTS_WITH_REVIEW,수동검토 적절,적절,FOOTWORK_SPLIT_STEP_REACTION_DRILL_VARIANTS,source 검토 적절,P1,session-level redundancy/fatigue cap에서만 사용하고 seed 자동 고부하 판정은 금지.,고부하/감속/SSC 후보라 session generator 충돌 검토가 필요하다.
121,린단 참고 트랙 스프린트,ex_4773b6ea,MOBILITY_WARMUP_RECOVERY_EXERCISES,MEDIUM,LOW_OR_MEDIUM_FAMILY_CONFIDENCE|SOURCE_REVIEW,USES_NEEDS_NETWORK_RECHECK_SOURCE:D_SCAP_ROTATOR_CUFF_PMC2857390|C_GLUTE_REHAB_EMG_PMC3201064,NO,PARTIAL,수동검토 적절,수정 필요,SPRINT_ACCELERATION_CONDITIONING_REVIEW,source 검토 적절,P0,sidecar 생성 전 family 보정 규칙을 추가하라.,트랙 스프린트는 MOBILITY/RECOVERY가 아니라 가속/스프린트/컨디셔닝 계열이다.
122,린단 참고 페이스 체인지 풋워크,ex_5004ca76,FOOTWORK_SPLIT_STEP_REACTION_DRILL_VARIANTS,HIGH,HIGH_STRESS_SESSION_CLUSTER_REVIEW|SOURCE_REVIEW,USES_NEEDS_NETWORK_RECHECK_SOURCE:E_BADMINTON_LUNGE_PMC7648456,DECELERATION_REVIEW,PARTIAL_TEMPLATE_DEFAULTS_WITH_REVIEW,수동검토 적절,적절,FOOTWORK_SPLIT_STEP_REACTION_DRILL_VARIANTS,source 검토 적절,P1,session-level redundancy/fatigue cap에서만 사용하고 seed 자동 고부하 판정은 금지.,고부하/감속/SSC 후보라 session generator 충돌 검토가 필요하다.
123,멀티셔틀 풋워크,ex_752b45ae,FOOTWORK_SPLIT_STEP_REACTION_DRILL_VARIANTS,HIGH,HIGH_STRESS_SESSION_CLUSTER_REVIEW|SOURCE_REVIEW,USES_NEEDS_NETWORK_RECHECK_SOURCE:E_BADMINTON_LUNGE_PMC7648456,DECELERATION_REVIEW,PARTIAL_TEMPLATE_DEFAULTS_WITH_REVIEW,수동검토 적절,적절,FOOTWORK_SPLIT_STEP_REACTION_DRILL_VARIANTS,source 검토 적절,P1,session-level redundancy/fatigue cap에서만 사용하고 seed 자동 고부하 판정은 금지.,고부하/감속/SSC 후보라 session generator 충돌 검토가 필요하다.
124,메디신볼 슬램,ex_26ac0c19,POWER_CORE_SHOULDER_REVIEW,MEDIUM,NO_TEMPLATE_MATCH|LOW_OR_MEDIUM_FAMILY_CONFIDENCE|SOURCE_REVIEW,MISSING_SOURCE_ID,NO,NO,수동검토 적절,대체로 적절,POWER_CORE_SHOULDER_REVIEW,source/template 누락 검토 적절,P1,새 template/sourceId를 만든 뒤에만 seed 반영.,새로 분리한 review family이거나 template/source가 없어서 manual review가 맞다.
125,미니밴드 사이드워크,ex_16b298db,MOBILITY_WARMUP_RECOVERY_EXERCISES,MEDIUM,LOW_OR_MEDIUM_FAMILY_CONFIDENCE|SOURCE_REVIEW,USES_NEEDS_NETWORK_RECHECK_SOURCE:D_SCAP_ROTATOR_CUFF_PMC2857390|C_GLUTE_REHAB_EMG_PMC3201064,NO,PARTIAL,수동검토 적절,세부분리 필요,HIP_ABDUCTION_GLUTE_MED_ACTIVATION_REVIEW,source 검토 적절,P1,자동 template 반영 금지. sidecar에서 별도 review family로 둬라.,MOBILITY/RECOVERY로만 처리하기보다 중둔근 활성/고관절 안정성 보조로 분리할 필요가 있다.
126,바이퍼 트위스트(아래로),ex_8354acd,POWER_CORE_SHOULDER_REVIEW,MEDIUM,NO_TEMPLATE_MATCH|LOW_OR_MEDIUM_FAMILY_CONFIDENCE|SOURCE_REVIEW,MISSING_SOURCE_ID,NO,NO,수동검토 적절,대체로 적절,POWER_CORE_SHOULDER_REVIEW,source/template 누락 검토 적절,P1,새 template/sourceId를 만든 뒤에만 seed 반영.,새로 분리한 review family이거나 template/source가 없어서 manual review가 맞다.
127,박스 스텝업,ex_6232f4bc,STEP_UP_VARIANTS,HIGH,SOURCE_REVIEW,USES_NEEDS_NETWORK_RECHECK_SOURCE:C_GLUTE_MED_MIN_META_PMC7727410|C_GLUTE_REHAB_EMG_PMC3201064,NO,PARTIAL_TEMPLATE_DEFAULTS_WITH_REVIEW,행 단위 manual review는 과잉,적절,STEP_UP_VARIANTS,source-only 검토 적절,P2,family는 유지. sourceReviewRequired로만 분리하고 seed 반영 전 source 상태만 확인.,운동 분류 문제라기보다 needs_network_recheck source 때문에 manual로 잡힌 행이다.
128,박스 점프,ex_d9e141e4,PLYOMETRIC_JUMP_VARIANTS,HIGH,HIGH_STRESS_SESSION_CLUSTER_REVIEW|SOURCE_REVIEW,USES_NEEDS_NETWORK_RECHECK_SOURCE:E_BADMINTON_TRAINING_EFFECTS_PMC12239426,PLYOMETRIC_SSC_REVIEW,PARTIAL_TEMPLATE_DEFAULTS_WITH_REVIEW,수동검토 적절,적절,PLYOMETRIC_JUMP_VARIANTS,source 검토 적절,P1,session-level redundancy/fatigue cap에서만 사용하고 seed 자동 고부하 판정은 금지.,고부하/감속/SSC 후보라 session generator 충돌 검토가 필요하다.
129,발목/고관절 가동성,ex_149730de,MOBILITY_WARMUP_RECOVERY_EXERCISES,MEDIUM,LOW_OR_MEDIUM_FAMILY_CONFIDENCE|SOURCE_REVIEW,USES_NEEDS_NETWORK_RECHECK_SOURCE:D_SCAP_ROTATOR_CUFF_PMC2857390|C_GLUTE_REHAB_EMG_PMC3201064,NO,PARTIAL,수동검토 적절,대체로 적절 또는 세부분리 필요,MOBILITY_WARMUP_RECOVERY_EXERCISES,source 검토 적절,P1,자동 반영하지 말고 subtype/template 확인.,중간 신뢰도라 row-level review가 맞다.
130,버피,ex_3f184ef9,CARDIO_RECORDS,MEDIUM,LOW_OR_MEDIUM_FAMILY_CONFIDENCE|SOURCE_REVIEW,USES_NEEDS_NETWORK_RECHECK_SOURCE:B_ACSM_2026_PMID41843416,NO,PARTIAL,수동검토 적절,세부분리 필요,BODYWEIGHT_CONDITIONING_POWER_REVIEW,source 검토 적절,P1,자동 template 반영 금지. sidecar에서 별도 review family로 둬라.,CARDIO_RECORDS는 가능하지만 점프/푸시업/전신 컨디셔닝 성격이 있어 자동 템플릿은 위험하다.
131,불가리안 스플릿 스쿼트,ex_e2efd0fe,LUNGE_SPLIT_SQUAT_VARIANTS,HIGH,SOURCE_REVIEW,USES_NEEDS_NETWORK_RECHECK_SOURCE:E_BADMINTON_LUNGE_PMC7648456|C_GLUTE_MED_MIN_META_PMC7727410,NO,PARTIAL_TEMPLATE_DEFAULTS_WITH_REVIEW,행 단위 manual review는 과잉,적절,LUNGE_SPLIT_SQUAT_VARIANTS,source-only 검토 적절,P2,family는 유지. sourceReviewRequired로만 분리하고 seed 반영 전 source 상태만 확인.,운동 분류 문제라기보다 needs_network_recheck source 때문에 manual로 잡힌 행이다.
132,사이드 스텝 후 정지,ex_9b132c23,LATERAL_BOUND_LANDING_DECELERATION_VARIANTS,HIGH,HIGH_STRESS_SESSION_CLUSTER_REVIEW|SOURCE_REVIEW,USES_NEEDS_NETWORK_RECHECK_SOURCE:E_BADMINTON_LUNGE_PMC7648456,PLYOMETRIC_SSC_REVIEW|DECELERATION_REVIEW,PARTIAL_TEMPLATE_DEFAULTS_WITH_REVIEW,수동검토 적절,적절,LATERAL_BOUND_LANDING_DECELERATION_VARIANTS,source 검토 적절,P1,session-level redundancy/fatigue cap에서만 사용하고 seed 자동 고부하 판정은 금지.,고부하/감속/SSC 후보라 session generator 충돌 검토가 필요하다.
133,셔틀런,ex_a4040be3,FOOTWORK_SPLIT_STEP_REACTION_DRILL_VARIANTS,HIGH,HIGH_STRESS_SESSION_CLUSTER_REVIEW|SOURCE_REVIEW,USES_NEEDS_NETWORK_RECHECK_SOURCE:E_BADMINTON_LUNGE_PMC7648456,DECELERATION_REVIEW,PARTIAL_TEMPLATE_DEFAULTS_WITH_REVIEW,수동검토 적절,적절,FOOTWORK_SPLIT_STEP_REACTION_DRILL_VARIANTS,source 검토 적절,P1,session-level redundancy/fatigue cap에서만 사용하고 seed 자동 고부하 판정은 금지.,고부하/감속/SSC 후보라 session generator 충돌 검토가 필요하다.
134,스킵 바운드,ex_c4ea0a2a,RUNNING_MECHANICS_SUPPORT_REVIEW,MEDIUM,NO_TEMPLATE_MATCH|LOW_OR_MEDIUM_FAMILY_CONFIDENCE|HIGH_STRESS_SESSION_CLUSTER_REVIEW|SOURCE_REVIEW,MISSING_SOURCE_ID,PLYOMETRIC_SSC_REVIEW,NO,수동검토 적절,대체로 적절,RUNNING_MECHANICS_SUPPORT_REVIEW,source/template 누락 검토 적절,P1,새 template/sourceId를 만든 뒤에만 seed 반영.,새로 분리한 review family이거나 template/source가 없어서 manual review가 맞다.
135,스트라이드,ex_c5c2fdef,RUNNING_MECHANICS_SUPPORT_REVIEW,MEDIUM,NO_TEMPLATE_MATCH|LOW_OR_MEDIUM_FAMILY_CONFIDENCE|SOURCE_REVIEW,MISSING_SOURCE_ID,NO,NO,수동검토 적절,대체로 적절,RUNNING_MECHANICS_SUPPORT_REVIEW,source/template 누락 검토 적절,P1,새 template/sourceId를 만든 뒤에만 seed 반영.,새로 분리한 review family이거나 template/source가 없어서 manual review가 맞다.
